Verein,Name,Einsätze,Einwechslungen,Auswechslungen,Spielminuten,Tore,Torschüsse,Torvorlagen,Torschussvorlagen,Elfmeter verwandelt,Elfmeter verschossen,Laufleistung,Ballkontakte,Zweikampfquote,gespielte Pässe,angekommene Pässe,Fehlpässe,Passquote,Fouls,Gefoult worden,Abseits,Gelbe Karten,Gelb-rote Karten,Rote Karten,Note
FC Bayern München,Tom Starke,3,0,0,270,0,0,0,0,0,0,14.77,119,100,79,63,16,80,0,0,0,0,0,0,2.17
FC Bayern München,Arjen Robben,26,5,9,1825,13,83,12,50,0,0,207.12,1491,53,989,803,186,81,7,26,8,0,0,0,2.39
FC Bayern München,Franck Ribery,22,8,9,1239,5,21,11,49,0,0,155.72,1206,49,898,753,145,84,14,36,7,0,0,2,2.65
FC Bayern München,Robert Lewandowski,33,2,3,2775,30,143,8,30,5,0,309.83,1228,44,709,533,176,75,40,56,29,0,0,5,2.68
FC Bayern München,Philipp Lahm,26,2,7,2085,1,7,3,39,0,0,241.92,2347,60,1905,1714,191,90,11,19,2,0,0,1,2.71
FC Bayern München,Thiago,27,1,4,2288,6,37,4,49,0,0,285.84,3110,59,2561,2311,250,90,39,27,2,0,0,4,2.71
FC Bayern München,Mats Hummels,27,3,3,2181,1,32,2,10,0,0,231.39,2359,71,2075,1843,232,89,15,9,1,0,0,4,2.84
FC Bayern München,Manuel Neuer,26,0,0,2340,0,0,0,0,0,0,137.36,911,80,690,558,132,81,0,2,0,0,0,0,2.88
FC Bayern München,Javi Martinez,25,0,4,2131,1,11,1,4,0,0,217.42,2209,68,1959,1794,165,92,20,27,2,0,0,5,2.96
FC Bayern München,Jerome Boateng,13,3,4,827,0,4,1,6,0,0,86.65,760,56,670,587,83,88,9,1,0,0,0,1,3.10
FC Bayern München,Sven Ulreich,5,0,0,450,0,0,0,0,0,0,23.25,173,0,129,113,16,88,0,0,0,0,0,0,3.10
FC Bayern München,Juan Bernat,18,5,2,1238,2,11,2,15,0,0,149.37,1180,50,792,712,80,90,19,19,2,0,0,1,3.19
FC Bayern München,Rafinha,20,10,2,1029,1,6,2,14,0,0,120.69,1209,66,923,828,95,90,10,21,0,0,0,2,3.25
FC Bayern München,David Alaba,32,3,5,2506,4,32,4,34,0,0,285.14,2326,50,1761,1561,200,89,16,11,7,0,0,1,3.27
FC Bayern München,Kingsley Coman,19,9,7,917,2,22,1,20,0,0,110.84,629,50,407,343,64,84,11,18,3,0,0,1,3.29
FC Bayern München,Arturo Vidal,27,6,9,1821,4,39,3,25,0,0,222.32,2213,57,1889,1659,230,88,51,22,2,0,0,8,3.40
FC Bayern München,Thomas Müller,29,4,5,2263,5,65,14,61,0,0,291.51,1429,39,1059,805,254,76,19,22,17,0,0,0,3.44
FC Bayern München,Douglas Costa,23,9,7,1375,4,43,6,35,0,0,155.44,1063,48,693,556,137,80,19,15,6,0,0,2,3.47
FC Bayern München,Joshua Kimmich,27,12,6,1547,6,31,1,30,0,0,210.84,1678,60,1390,1249,141,90,17,38,3,0,0,1,3.53
FC Bayern München,Xabi Alonso,27,5,8,1903,3,26,2,40,0,0,245.28,2326,56,2030,1815,215,89,28,28,0,0,0,6,3.55
FC Bayern München,Renato Sanches,17,11,5,621,0,12,0,4,0,0,75.06,595,46,474,417,57,88,17,13,1,0,0,3,4.19
RB Leipzig,Emil Forsberg,30,3,13,2337,8,49,22,94,1,1,284.23,1505,47,848,645,203,76,26,51,6,1,0,1,2.70
RB Leipzig,Timo Werner,31,3,19,2416,21,74,8,32,2,0,301.56,1180,41,709,479,230,68,24,32,51,0,0,4,2.77
RB Leipzig,Naby Keita,31,2,9,2409,8,43,8,40,0,0,281.23,2053,48,1424,1164,260,82,70,52,1,0,0,8,2.78
